club_name,first_name,last_name,position,market_value_eur
AEK Athens,ALB,ALB,GK,
AEK Athens,CMR,CMR,DEF,
AEK Athens,ALB,ALB,DEF,
AEK Athens,GRE,GRE,DEF,
AEK Athens,FIN,FIN,MID,
AEK Athens,SUI,SUI,MID,
AEK Athens,SRB,SRB,MID,
AEK Athens,SRB,SRB,FWD,
AEK Athens,UKR,UKR,MID,
AEK Athens,MTN,MTN,FWD,
AEK Athens,GRE,GRE,DEF,
AEK Athens,CRO,CRO,MID,
AEK Athens,BUL,BUL,DEF,
AEK Athens,HON,HON,MID,
AEK Athens,GRE,GRE,MID,
AEK Athens,ROU,ROU,MID,
AEK Athens,HUN,HUN,FWD,
AEK Athens,GRE,GRE,MID,
AEK Athens,CRO,CRO,DEF,
AEK Athens,GRE,GRE,DEF,
AEK Athens,POR,POR,MID,
AEK Athens,HUN,HUN,MID,
AEK Athens,GRE,GRE,FWD,
AEK Athens,GRE,GRE,GK,
AEK Athens,POR,POR,DEF,
AEK Athens,RWA,RWA,MID,
AEK Athens,ANG,ANG,FWD,
AEK Athens,ITA,ITA,GK,
AEK Athens,HAI,HAI,FWD,
AEK Athens,GRE,GRE,GK,
AEK Athens,SCO,SCO,DEF,
AEK Athens,CRO,CRO,MID,
AEK Athens,SWE,SWE,MID,
AEK Athens,ESP,ESP,MID,
AEK Athens,ARG,ARG,FWD,
AEK Athens,GRE,GRE,FWD,
Olympiacos,GER,GER,GK,
Olympiacos,GRE,GRE,DEF,
Olympiacos,SWE,SWE,DEF,
Olympiacos,ITA,ITA,DEF,
Olympiacos,ANG,ANG,DEF,
Olympiacos,GRE,GRE,MID,
Olympiacos,POR,POR,MID,
Olympiacos,MAR,MAR,FWD,
Olympiacos,POR,POR,MID,
Olympiacos,UKR,UKR,FWD,
Olympiacos,ESP,ESP,MID,
Olympiacos,COL,COL,MID,
Olympiacos,ARG,ARG,MID,
Olympiacos,JAM,JAM,MID,
Olympiacos,SUI,SUI,MID,
Olympiacos,POR,POR,MID,
Olympiacos,GRE,GRE,MID,
Olympiacos,POR,POR,MID,
Olympiacos,NOR,NOR,DEF,
Olympiacos,MNE,MNE,GK,
Olympiacos,ARG,ARG,MID,
Olympiacos,MEX,MEX,FWD,
Olympiacos,GRE,GRE,DEF,
Olympiacos,NGA,NGA,DEF,
Olympiacos,ARM,ARM,DEF,
Olympiacos,ESP,ESP,MID,
Olympiacos,BRA,BRA,FWD,
Olympiacos,GRE,GRE,GK,
Olympiacos,TUR,TUR,MID,
Olympiacos,BRA,BRA,DEF,
Olympiacos,ARG,ARG,DEF,
Olympiacos,GRE,GRE,DEF,
Olympiacos,POR,POR,MID,
Olympiacos,GRE,GRE,MID,
Olympiacos,GRE,GRE,MID,
Olympiacos,FRA,FRA,MID,
PAOK,CZE,CZE,GK,
PAOK,GUI,GUI,MID,
PAOK,ENG,ENG,DEF,
PAOK,GRE,GRE,DEF,
PAOK,GRE,GRE,DEF,
PAOK,ESP,ESP,DEF,
PAOK,FRA,FRA,MID,
PAOK,FRA,FRA,MID,
PAOK,RUS,RUS,FWD,
PAOK,GRE,GRE,MID,
PAOK,BRA,BRA,MID,
PAOK,GRE,GRE,DEF,
PAOK,SRB,SRB,MID,
PAOK,SRB,SRB,MID,
PAOK,BRA,BRA,DEF,
PAOK,GRE,GRE,MID,
PAOK,GHA,GHA,DEF,
PAOK,SWE,SWE,MID,
PAOK,FRA,FRA,MID,
PAOK,GRE,GRE,DEF,
PAOK,SEN,SEN,FWD,
PAOK,SCO,SCO,DEF,
PAOK,GRE,GRE,MID,
PAOK,GRE,GRE,GK,
PAOK,ENG,ENG,MID,
PAOK,GRE,GRE,MID,
PAOK,GRE,GRE,GK,
PAOK,GRE,GRE,FWD,
PAOK,BUL,BUL,MID,
PAOK,GRE,GRE,GK,
PAOK,GRE,GRE,MID,
PAOK,GRE,GRE,DEF,
PAOK,GRE,GRE,GK,
PAOK,GRE,GRE,DEF,
PAOK,GEO,GEO,GK,
PAOK,USA,USA,DEF,
PAOK,ESP,ESP,MID,
Panathinaikos,ESP,ESP,GK,
Panathinaikos,ITA,ITA,DEF,
Panathinaikos,GRE,GRE,DEF,
Panathinaikos,ESP,ESP,MID,
Panathinaikos,NED,NED,DEF,
Panathinaikos,GRE,GRE,FWD,
Panathinaikos,CRO,CRO,MID,
Panathinaikos,NGA,NGA,FWD,
Panathinaikos,ARG,ARG,MID,
Panathinaikos,ARG,ARG,GK,
Panathinaikos,USA,USA,DEF,
Panathinaikos,ISL,ISL,DEF,
Panathinaikos,GRE,GRE,MID,
Panathinaikos,GRE,GRE,MID,
Panathinaikos,GRE,GRE,DEF,
Panathinaikos,ARG,ARG,MID,
Panathinaikos,MAR,MAR,MID,
Panathinaikos,FRA,FRA,MID,
Panathinaikos,MAR,MAR,MID,
Panathinaikos,URU,URU,MID,
Panathinaikos,GRE,GRE,MID,
Panathinaikos,DEN,DEN,DEF,
Panathinaikos,GRE,GRE,MID,
Panathinaikos,ZAM,ZAM,MID,
Panathinaikos,NED,NED,DEF,
Panathinaikos,GRE,GRE,GK,
